campanha_id,nome_campanha,plataforma,mes_ano,investimento_brl,impressoes,cliques,conversoes,receita_gerada_brl
C001,Meta_Retargeting_Vendas,Meta,2025-01,12500.00,850000,18700,420,68500.00
C002,Meta_Prospeccao_Novo_Publico,Meta,2025-01,8200.00,1200000,9600,85,9200.00
C003,Meta_Remarketing_Carrinho,Meta,2025-01,6800.00,420000,14200,310,48100.00
C004,Meta_Retargeting_Vendas,Meta,2025-02,13800.00,920000,21500,480,79200.00
C005,Meta_Prospeccao_Novo_Publico,Meta,2025-02,7500.00,1350000,8900,72,7560.00
C006,Meta_Remarketing_Carrinho,Meta,2025-02,7200.00,460000,15800,340,53200.00
C007,YouTube_Video_Awareness,YouTube,2025-01,15000.00,2100000,12600,180,31500.00
C008,YouTube_InStream_Conversao,YouTube,2025-01,9500.00,780000,8200,295,52100.00
C009,YouTube_Bumper_Branding,YouTube,2025-01,4200.00,3500000,3150,28,3360.00
C010,YouTube_Video_Awareness,YouTube,2025-02,16500.00,2400000,14400,210,38850.00
C011,YouTube_InStream_Conversao,YouTube,2025-02,10200.00,850000,9350,325,58500.00
C012,YouTube_Bumper_Branding,YouTube,2025-02,3800.00,3200000,2880,22,2640.00
C013,Spotify_Audio_Prospeccao,Spotify,2025-01,5500.00,1800000,2160,48,7680.00
C014,Spotify_Podcast_Ads,Spotify,2025-01,7800.00,950000,4275,195,35100.00
C015,Spotify_Display_Retargeting,Spotify,2025-01,3200.00,620000,3720,42,5040.00
C016,Spotify_Audio_Prospeccao,Spotify,2025-02,5800.00,1950000,2340,52,8840.00
C017,Spotify_Podcast_Ads,Spotify,2025-02,8500.00,1050000,4935,218,40330.00
C018,Spotify_Display_Retargeting,Spotify,2025-02,3500.00,680000,4080,38,4560.00
